"sample_id"	"name"	"description"	"path"	"path_2"	"ncbi_accession"	"ncbi_query"	"ncbi_query_max"	"sequence_type"	"report_group_ids"	"color_by"	"ploidy"	"enabled"	"ref_contextual_usage"	"ref_enabled"	"sra_2"	"Organism"	"Platform"	"ReleaseDate"	"Sample.Name"	"SRA.Study"	"Sample_Name"	"strain"	"geo_loc_name_country"	"geo_loc_name_country_continent"	"geographic_location_.country_and.or_sea."	"Serovar"	"specific_host"	"Collection_Date"	"host_health_state"	"isolation_source"	"ENA_first_public"	"ENA_last_update"	"external_id"	"Scientific_Name"	"Submitter_Id"	"SRA_accession"	"Title"	"ref_ids"
"ERR025988"	"ERR025988"	"ERR025988"	""	""	"ERR025988"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882028"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882028"	"ERP000165"	"QMP_M1_882-sc-2010-06-22-227701"	"QMP M1-882"	"USA"	"North America"	"USA"	"QMP M1-882"	"Homo sapiens"	"2007"	"diseased"	"urine"	"2011-02-14T17:17:45Z"	"2018-03-09T09:52:30Z"	"SAMEA882028"	"Klebsiella pneumoniae"	"QMP_M1_882-sc-2010-06-22-227701"	""	""	""
"ERR025609"	"ERR025609"	"ERR025609"	""	""	"ERR025609"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882132"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882132"	"ERP000165"	"ERS011987"	"QMP M1-974"	"USA"	"North America"	"USA"	"QMP M1-974"	"Homo sapiens"	"2007"	"healthy"	"intestinal biopsy"	""	""	""	""	""	"ERS011987"	"Klebsiella pneumoniae"	""
"ERR025157"	"ERR025157"	"ERR025157"	""	""	"ERR025157"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882228"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882228"	"ERP000165"	"ERS011954"	"QMP M1-222"	"USA"	"North America"	"USA"	"QMP M1-222"	"Bovine"	"2005"	"diseased"	"sterile"	""	""	""	""	""	"ERS011954"	"Klebsiella pneumoniae"	""
"ERR025475"	"ERR025475"	"ERR025475"	""	""	"ERR025475"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882198"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882198"	"ERP000165"	"UV1172-sc-2010-06-22-227539"	"UV1172"	"Viet Nam"	"Asia"	"Viet Nam"	"UV1172"	"Homo sapiens"	"2004"	"diseased"	"respiratory"	"2011-02-14T17:17:44Z"	"2018-03-09T09:52:29Z"	"SAMEA882198"	"Klebsiella pneumoniae"	"UV1172-sc-2010-06-22-227539"	""	""	""
"ERR025547"	"ERR025547"	"ERR025547"	""	""	"ERR025547"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882113"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882113"	"ERP000165"	"ERS011906"	"DR5092/05"	"Singapore"	"Asia"	"Singapore"	"DR5092/05"	"Homo sapiens"	"2005"	"healthy"	"intestinal"	""	""	""	""	""	"ERS011906"	"Klebsiella pneumoniae"	""
"ERR025468"	"ERR025468"	"ERR025468"	""	""	"ERR025468"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882205"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882205"	"ERP000165"	"07_0003m-sc-2010-06-22-227530"	"07-0003m"	"Viet Nam"	"Asia"	"Viet Nam"	"07-0003m"	"Homo sapiens"	"2007"	"diseased"	"sterile"	"2011-02-14T17:17:44Z"	"2018-03-09T09:52:29Z"	"SAMEA882205"	"Klebsiella pneumoniae"	"07_0003m-sc-2010-06-22-227530"	""	""	""
"ERR025501"	"ERR025501"	"ERR025501"	""	""	"ERR025501"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882069"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882069"	"ERP000165"	"ERS011842"	"D-026-I-b-1"	"Viet Nam"	"Asia"	"Viet Nam"	"D-026-I-b-1"	"Homo sapiens"	"2005"	"healthy"	"intestinal"	""	""	""	""	""	"ERS011842"	"Klebsiella pneumoniae"	""
"ERR025979"	"ERR025979"	"ERR025979"	""	""	"ERR025979"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882025"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882025"	"ERP000165"	"QMP_M1_781-sc-2010-06-22-227695"	"QMP M1-781"	"USA"	"North America"	"USA"	"QMP M1-781"	"Bovine"	"2006"	"diseased"	"sterile"	"2011-02-14T17:17:45Z"	"2018-03-09T09:52:30Z"	"SAMEA882025"	"Klebsiella pneumoniae"	"QMP_M1_781-sc-2010-06-22-227695"	""	""	""
"ERR025673"	"ERR025673"	"ERR025673"	""	""	"ERR025673"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882247"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882247"	"ERP000165"	"71M-sc-2010-06-22-227517"	"08-049B"	"Viet Nam"	"Asia"	"Viet Nam"	"08-049B"	"Homo sapiens"	"2008"	"diseased"	"respiratory"	"2011-02-14T17:17:43Z"	"2018-03-09T09:52:28Z"	"SAMEA882247"	"Klebsiella pneumoniae"	"71M-sc-2010-06-22-227517"	""	""	""
"ERR025140"	"ERR025140"	"ERR025140"	""	""	"ERR025140"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882263"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882263"	"ERP000165"	"QMP_M1_428-sc-2010-06-22-227682"	"QMP M1-771"	"USA"	"North America"	"USA"	"QMP M1-771"	"Homo sapiens"	"2006"	"diseased"	"sterile"	"2011-02-14T17:17:44Z"	"2018-03-09T09:52:29Z"	"SAMEA882263"	"Klebsiella pneumoniae"	"QMP_M1_428-sc-2010-06-22-227682"	""	""	""
